Handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
espresso,Espresso,,My Coffee Co,Food & Beverages > Beverages > Coffee,Hot Coffee,Hot Coffee,TRUE,Active,225,,Title,Default,,,,,,,,104,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
cortado,Cortado,,My Coffee Co,Food & Beverages > Beverages > Coffee,Hot Coffee,Hot Coffee,TRUE,Active,226,,Title,Default,,,,,,,,157,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
pour-over,Pour Over,,My Coffee Co,Food & Beverages > Beverages > Coffee,Hot Coffee,Hot Coffee,TRUE,Active,247,,Title,Default,,,,,,,,157,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
americano,Americano,,My Coffee Co,Food & Beverages > Beverages > Coffee,Hot Coffee,Hot Coffee,TRUE,Active,228,,Size,Regular,,,,,,,,115,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
americano,,,,,,,,,229,,Size,Large,,,,,,,,136,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
americano,,,,,,,,,230,,Size,Extra Large,,,,,,,,167,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
cappuccino,Cappuccino,,My Coffee Co,Food & Beverages > Beverages > Coffee,Hot Coffee,Hot Coffee,TRUE,Active,232,,Size,Regular,,,,,,,,157,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
cappuccino,,,,,,,,,233,,Size,Large,,,,,,,,188,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
cappuccino,,,,,,,,,234,,Size,Extra Large,,,,,,,,220,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
latte,Latte,,My Coffee Co,Food & Beverages > Beverages > Coffee,Hot Coffee,Hot Coffee,TRUE,Active,237,,Size,Regular,,,,,,,,157,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
